Name,Phone,Link
Whole Foods Market,+1 646-497-1222 ,https://www.google.com/maps/place/Whole+Foods+Market/data=!4m7!3m6!1s0x89c258e4300b82bd:0xf76f7dc8489b01cb!8m2!3d40.759591!4d-73.96632!16s%2Fg%2F11h0gtn1w!19sChIJvYILMORYwokRywGbSMh9b_c
Fat Witch Bakery,+1 212-807-1335 ,https://www.google.com/maps/place/Fat+Witch+Bakery/data=!4m7!3m6!1s0x89c259bf144c69c3:0xd471d406028bb76a!8m2!3d40.7421!4d-74.005422!16s%2Fg%2F1tddbs26!19sChIJw2lMFL9ZwokRareLAgbUcdQ
Levain Bakery,+1 917-464-3746 ,https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c259cbc4547a75:0xdbba7ba0538ddab!8m2!3d40.7262243!4d-73.9946887!16s%2Fg%2F11j2xrmq_r!19sChIJdXpUxMtZwokRq904Bbqnuw0
Levain Bakery,+1 917-464-3769 ,https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c25889849e29e9:0x95599b59c678ed68!8m2!3d40.7799589!4d-73.9802984!16s%2Fg%2F1tf8t__y!19sChIJ6SmehIlYwokRaO14xlmbWZU
Magnolia Bakery - Rockefeller Center,+1 212-767-1123 ,https://www.google.com/maps/place/Magnolia+Bakery+-+Rockefeller+Center/data=!4m7!3m6!1s0x89c258ff31da6375:0xd75cc46007ea2ae7!8m2!3d40.7592883!4d-73.9806133!16s%2Fg%2F1tfgq9gc!19sChIJdWPaMf9YwokR5yrqB2DEXNc
Angelina Bakery,+1 212-687-7100 ,"https://www.google.com/maps/place/Angelina+Bakery/@40.7549941,-73.9917692,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2593d42a644a3:0xdb3e468346bd302c!8m2!3d40.7549941!4d-73.9917692!16s%2Fg%2F11fjz6sj3j"
Veniero's Pasticceria & Caffe,+1 212-674-7070 ,https://www.google.com/maps/place/Veniero%27s+Pasticceria+%26+Caffe/data=!4m7!3m6!1s0x89c2599dc00920ef:0x7ee3e090ffb18fd5!8m2!3d40.7294208!4d-73.9845332!16s%2Fm%2F03gy_f3!19sChIJ7yAJwJ1ZwokR1Y-x_5Dg434
Levain Bakery,+1 917-464-3789 ,https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c2f616a2a2b963:0x8892626118e7099c!8m2!3d40.805038!4d-73.955184!16s%2Fg%2F1tfx5v6b!19sChIJY7miohb2wokRnAnnGGFikog
NY Bakery and Desserts,+1 929-507-9222 ,https://www.google.com/maps/place/NY+Bakery+and+Desserts/data=!4m7!3m6!1s0x89c259823a7da5c7:0x75f200984343523d!8m2!3d40.7534162!4d-73.9892706!16s%2Fg%2F11rsq03hh2!19sChIJx6V9OoJZwokRPVJDQ5gA8nU
Angelina Bakery Times Square NYC,+1 212-518-1566 ,https://www.google.com/maps/place/Angelina+Bakery+Times+Square+NYC/data=!4m7!3m6!1s0x89c259131b6acc25:0x9b5580f8ae2d380!8m2!3d40.7629544!4d-73.983331!16s%2Fg%2F11p0zmvq93!19sChIJJcxqGxNZwokRgNPiig9YtQk
Billy's Bakery,+1 212-647-9406 ,https://www.google.com/maps/place/Billy%27s+Bakery/data=!4m7!3m6!1s0x89c259b975beb74b:0x547de21261cbb1af!8m2!3d40.7453393!4d-74.0019174!16s%2Fg%2F1v8x3330!19sChIJS7e-dblZwokRr7HLYRLifVQ
Carlo's Bakery,+1 929-446-0509 ,https://www.google.com/maps/place/Carlo%27s+Bakery/data=!4m7!3m6!1s0x4065fd233867a891:0x5e79b3ec2d17834!8m2!3d40.7569545!4d-73.990494!16s%2Fg%2F11b77pw17g!19sChIJkahnOCP9ZUARNHjRwj6b5wU
Supermoon Bakehouse,N/A,"https://www.google.com/maps/place/Supermoon+Bakehouse/@40.7198453,-73.9872386,17z/data=!3m1!4b1!4m6!3m5!1s0x89c259816b253671:0xa982ed6d6875ed61!8m2!3d40.7198453!4d-73.9872386!16s%2Fg%2F11gbxb3lf_"
NY Bakery and Desserts,+1 347-506-7403 ,"https://www.google.com/maps/place/NY+Bakery+and+Desserts/@40.7463197,-73.9882869,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25943bf994951:0x848ddc09f41c48d1!8m2!3d40.7463197!4d-73.9882869!16s%2Fg%2F11wx2gsz37"
New York Bakery Café,+1 718-267-1010 ,"https://www.google.com/maps/place/New+York+Bakery+Caf%C3%A9/@40.7662496,-73.9204199,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25f4764e3a021:0x77faec9fe15d18cb!8m2!3d40.7662496!4d-73.9204199!16s%2Fg%2F113jp0707"
NY Bakery and Desserts,+1 201-954-2339 ,https://www.google.com/maps/place/NY+Bakery+and+Desserts/data=!4m7!3m6!1s0x89c2591ab9bad3a9:0x1b6215a8895e8587!8m2!3d40.7596243!4d-73.9847424!16s%2Fg%2F11stf1cfgt!19sChIJqdO6uRpZwokRh4VeiagVYhs
Martha's Country Bakery,+1 718-599-0900 ,"https://www.google.com/maps/place/Martha's+Country+Bakery/@40.714917,-73.9605447,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2596089d70501:0xd47b8f9f0818b671!8m2!3d40.714917!4d-73.9605447!16s%2Fg%2F11cs3gjclj"
Magnolia Bakery,+1 212-462-2572 ,https://www.google.com/maps/place/Magnolia+Bakery/data=!4m7!3m6!1s0x89c25994dfeed017:0x9b891dcea1746714!8m2!3d40.7358946!4d-74.00491!16s%2Fg%2F1tg6lgjr!19sChIJF9Du35RZwokRFGd0oc4diZs
